time;emission(Tg/Year)
1.998000000000000000e+03;2.470233469021942518e+00
1.998083333333333258e+03;2.554797543322567144e+00
1.998166666666666742e+03;2.559930950035901986e+00
1.998250000000000000e+03;2.567761222782057651e+00
1.998333333333333258e+03;2.509774050807576540e+00
1.998416666666666742e+03;2.435374424005217975e+00
1.998500000000000000e+03;2.538823205107711090e+00
1.998583333333333258e+03;2.567466956907287212e+00
1.998666666666666742e+03;2.464463793699757321e+00
1.998750000000000000e+03;2.432530418152516027e+00
1.998833333333333258e+03;2.491055001957518833e+00
1.998916666666666742e+03;2.406381779230581497e+00
1.999000000000000000e+03;2.548507518362081559e+00
1.999083333333333258e+03;2.488707089874843792e+00
1.999166666666666742e+03;2.456312494637815647e+00
1.999250000000000000e+03;2.566211936270966110e+00
1.999333333333333258e+03;2.548078128618654237e+00
1.999416666666666742e+03;2.549063812278445251e+00
1.999500000000000000e+03;2.503250160944485714e+00
1.999583333333333258e+03;2.547348173908528857e+00
1.999666666666666742e+03;2.546501141998169349e+00
1.999750000000000000e+03;2.477320031201813766e+00
1.999833333333333258e+03;2.500282192281141569e+00
1.999916666666666742e+03;2.452382179602121237e+00
2.000000000000000000e+03;2.526330987045156906e+00
2.000083333333333258e+03;2.498303840022499944e+00
2.000166666666666742e+03;2.561997833076274045e+00
2.000250000000000000e+03;2.583171741958526280e+00
2.000333333333333258e+03;2.507810488477171251e+00
2.000416666666666742e+03;2.445676336315670607e+00
2.000500000000000000e+03;2.558367006086862627e+00
2.000583333333333258e+03;2.423036000713309157e+00
2.000666666666666742e+03;2.484171077988194476e+00
2.000750000000000000e+03;2.399153634805343049e+00
2.000833333333333258e+03;2.441112678038093176e+00
2.000916666666666742e+03;2.372215180536300760e+00
2.001000000000000000e+03;2.466749257017968322e+00
2.001083333333333258e+03;2.452527640006016973e+00
2.001166666666666742e+03;2.502201036978082715e+00
2.001250000000000000e+03;2.430730086448799288e+00
2.001333333333333258e+03;2.419812790618335541e+00
2.001416666666666742e+03;2.512790931813526196e+00
2.001500000000000000e+03;2.436571733981681920e+00
2.001583333333333258e+03;2.478641449738341329e+00
2.001666666666666742e+03;2.426455793977469799e+00
2.001750000000000000e+03;2.506053615601197659e+00
2.001833333333333258e+03;2.400224287410139823e+00
2.001916666666666742e+03;2.534727920312525473e+00
2.002000000000000000e+03;2.419415258487859433e+00
2.002083333333333258e+03;2.508758078760022325e+00
2.002166666666666742e+03;2.475318910091004465e+00
2.002250000000000000e+03;2.448391629730336305e+00
2.002333333333333258e+03;2.383994935891166289e+00
2.002416666666666742e+03;2.468028181517672337e+00
2.002500000000000000e+03;2.637771155308081816e+00
2.002583333333333258e+03;2.652944818270150940e+00
2.002666666666666742e+03;2.637220669714785082e+00
2.002750000000000000e+03;2.533846047331030693e+00
2.002833333333333258e+03;2.529602230857037615e+00
2.002916666666666742e+03;2.453003365858439810e+00
2.003000000000000000e+03;2.503962167881072176e+00
2.003083333333333258e+03;2.467938105801840809e+00
2.003166666666666742e+03;2.538537093982064619e+00
2.003250000000000000e+03;2.571893684968869387e+00
2.003333333333333258e+03;2.530119073945342745e+00
2.003416666666666742e+03;2.574786013558902908e+00
2.003500000000000000e+03;2.540439209235459295e+00
2.003583333333333258e+03;2.480730111286878259e+00
2.003666666666666742e+03;2.370553256281810128e+00
2.003750000000000000e+03;2.357263674630283745e+00
2.003833333333333258e+03;2.501387735078445917e+00
2.003916666666666742e+03;2.356273846830643226e+00
2.004000000000000000e+03;2.368491095663898260e+00
2.004083333333333258e+03;2.443634222376956266e+00
2.004166666666666742e+03;2.562242247565089670e+00
2.004250000000000000e+03;2.480328858950014315e+00
2.004333333333333258e+03;2.450554984448956031e+00
2.004416666666666742e+03;2.506813034960424957e+00
2.004500000000000000e+03;2.458865871837080164e+00
2.004583333333333258e+03;2.477352942332968322e+00
2.004666666666666742e+03;2.492445425123439140e+00
2.004750000000000000e+03;2.483551884205812410e+00
2.004833333333333258e+03;2.542530526565480287e+00
2.004916666666666742e+03;2.404422348380435448e+00
2.005000000000000000e+03;2.396426159435468772e+00
2.005083333333333258e+03;2.703135305895406404e+00
2.005166666666666742e+03;2.457797377621932178e+00
2.005250000000000000e+03;2.519301989309743472e+00
2.005333333333333258e+03;2.463494036644449547e+00
2.005416666666666742e+03;2.440247067303176642e+00
2.005500000000000000e+03;2.501817676480774466e+00
2.005583333333333258e+03;2.512372679655616725e+00
2.005666666666666742e+03;2.587196411395787266e+00
2.005750000000000000e+03;2.489088108736460025e+00
2.005833333333333258e+03;2.434656888594065816e+00
2.005916666666666742e+03;2.355471366017229062e+00
2.006000000000000000e+03;2.419265144487282360e+00
2.006083333333333258e+03;2.439526406347858778e+00
2.006166666666666742e+03;2.419161432265043210e+00
2.006250000000000000e+03;2.523123000507378588e+00
2.006333333333333258e+03;2.567968904746002146e+00
2.006416666666666742e+03;2.520018164682508388e+00
2.006500000000000000e+03;2.538653169185903558e+00
2.006583333333333258e+03;2.558456249737724342e+00
2.006666666666666742e+03;2.550052997436915270e+00
2.006750000000000000e+03;2.653760306026421212e+00
2.006833333333333258e+03;2.497073116324335373e+00
2.006916666666666742e+03;2.454046362915414559e+00
2.007000000000000000e+03;2.520142538673180166e+00
2.007083333333333258e+03;2.474970722207080698e+00
