time;coal;gas;oil
01.01.2000;1.8846929;2.3758247;2.9988394
01.02.2000;1.7630998;2.2225459;2.8053658
01.03.2000;1.8846929;2.3758247;2.9988394
01.04.2000;1.8238964;2.2991853;2.9021032
01.05.2000;1.8846929;2.3758247;2.9988394
01.06.2000;1.8238964;2.2991853;2.9021032
01.07.2000;1.8846929;2.3758247;2.9988394
01.08.2000;1.8846929;2.3758247;2.9988394
01.09.2000;1.8238964;2.2991853;2.9021032
01.10.2000;1.8846929;2.3758247;2.9988394
01.11.2000;1.8238964;2.2991853;2.9021032
01.12.2000;1.8846929;2.3758247;2.9988394
01.01.2001;1.9652469;2.4553542;2.8873637
01.02.2001;1.7750616;2.2177393;2.6079414
01.03.2001;1.9652469;2.4553542;2.8873637
01.04.2001;1.9018515;2.3761494;2.794223
01.05.2001;1.9652469;2.4553542;2.8873637
01.06.2001;1.9018515;2.3761494;2.794223
01.07.2001;1.9652469;2.4553542;2.8873637
01.08.2001;1.9652469;2.4553542;2.8873637
01.09.2001;1.9018515;2.3761494;2.794223
01.10.2001;1.9652469;2.4553542;2.8873637
01.11.2001;1.9018515;2.3761494;2.794223
01.12.2001;1.9652469;2.4553542;2.8873637
01.01.2002;1.9765708;2.5504224;2.6436126
01.02.2002;1.7852898;2.3036075;2.3877792
01.03.2002;1.9765708;2.5504224;2.6436126
01.04.2002;1.9128104;2.4681509;2.5583348
01.05.2002;1.9765708;2.5504224;2.6436126
01.06.2002;1.9128104;2.4681509;2.5583348
01.07.2002;1.9765708;2.5504224;2.6436126
01.08.2002;1.9765708;2.5504224;2.6436126
01.09.2002;1.9128104;2.4681509;2.5583348
01.10.2002;1.9765708;2.5504224;2.6436126
01.11.2002;1.9128104;2.4681509;2.5583348
01.12.2002;1.9765708;2.5504224;2.6436126
01.01.2003;2.1560814;2.6523533;2.8975146
01.02.2003;1.9474286;2.3956742;2.61711
01.03.2003;2.1560814;2.6523533;2.8975146
01.04.2003;2.0865304;2.5667937;2.8040464
01.05.2003;2.1560814;2.6523533;2.8975146
01.06.2003;2.0865304;2.5667937;2.8040464
01.07.2003;2.1560814;2.6523533;2.8975146
01.08.2003;2.1560814;2.6523533;2.8975146
01.09.2003;2.0865304;2.5667937;2.8040464
01.10.2003;2.1560814;2.6523533;2.8975146
01.11.2003;2.0865304;2.5667937;2.8040464
01.12.2003;2.1560814;2.6523533;2.8975146
01.01.2004;2.357466;2.7349389;2.8465161
01.02.2004;2.2053716;2.5584915;2.66287
01.03.2004;2.357466;2.7349389;2.8465161
01.04.2004;2.2814186;2.6467152;2.7546928
01.05.2004;2.357466;2.7349389;2.8465161
01.06.2004;2.2814186;2.6467152;2.7546928
01.07.2004;2.357466;2.7349389;2.8465161
01.08.2004;2.357466;2.7349389;2.8465161
01.09.2004;2.2814186;2.6467152;2.7546928
01.10.2004;2.357466;2.7349389;2.8465161
01.11.2004;2.2814186;2.6467152;2.7546928
01.12.2004;2.357466;2.7349389;2.8465161
01.01.2005;2.5637805;2.8116558;2.8430686
01.02.2005;2.3156726;2.53956;2.5679328
01.03.2005;2.5637805;2.8116558;2.8430686
01.04.2005;2.4810774;2.720957;2.7513568
01.05.2005;2.5637805;2.8116558;2.8430686
01.06.2005;2.4810774;2.720957;2.7513568
01.07.2005;2.5637805;2.8116558;2.8430686
01.08.2005;2.5637805;2.8116558;2.8430686
01.09.2005;2.4810774;2.720957;2.7513568
01.10.2005;2.5637805;2.8116558;2.8430686
01.11.2005;2.4810774;2.720957;2.7513568
01.12.2005;2.5637805;2.8116558;2.8430686
01.01.2006;2.6976292;2.9270196;2.8124242
01.02.2006;2.4365685;2.6437595;2.5402539
01.03.2006;2.6976292;2.9270196;2.8124242
01.04.2006;2.610609;2.8325996;2.721701
01.05.2006;2.6976292;2.9270196;2.8124242
01.06.2006;2.610609;2.8325996;2.721701
01.07.2006;2.6976292;2.9270196;2.8124242
01.08.2006;2.6976292;2.9270196;2.8124242
01.09.2006;2.610609;2.8325996;2.721701
01.10.2006;2.6976292;2.9270196;2.8124242
01.11.2006;2.610609;2.8325996;2.721701
01.12.2006;2.6976292;2.9270196;2.8124242
01.01.2007;2.7964654;3.0202637;2.6288948
01.02.2007;2.5258396;2.7279797;2.3744853
01.03.2007;2.7964654;3.0202637;2.6288948
01.04.2007;2.7062569;2.9228354;2.5440912
01.05.2007;2.7964654;3.0202637;2.6288948
01.06.2007;2.7062569;2.9228354;2.5440912
01.07.2007;2.7964654;3.0202637;2.6288948
01.08.2007;2.7964654;3.0202637;2.6288948
01.09.2007;2.7062569;2.9228354;2.5440912
01.10.2007;2.7964654;3.0202637;2.6288948
01.11.2007;2.7062569;2.9228354;2.5440912
01.12.2007;2.7964654;3.0202637;2.6288948
01.01.2008;2.8258197;3.1336946;2.6796873
01.02.2008;2.6435091;2.9315207;2.5068042
01.03.2008;2.8258197;3.1336946;2.6796873
01.04.2008;2.7346644;3.0326076;2.5932455
01.05.2008;2.8258197;3.1336946;2.6796873
01.06.2008;2.7346644;3.0326076;2.5932455
01.07.2008;2.8258197;3.1336946;2.6796873
01.08.2008;2.8258197;3.1336946;2.6796873
01.09.2008;2.7346644;3.0326076;2.5932455
01.10.2008;2.8258197;3.1336946;2.6796873
01.11.2008;2.7346644;3.0326076;2.5932455
01.12.2008;2.8258197;3.1336946;2.6796873
01.01.2009;2.8369436;3.0874343;2.5872214
01.02.2009;2.5624008;2.7886505;2.3368454
01.03.2009;2.8369436;3.0874343;2.5872214
01.04.2009;2.7454293;2.9878395;2.5037627
01.05.2009;2.8369436;3.0874343;2.5872214
01.06.2009;2.7454293;2.9878395;2.5037627
01.07.2009;2.8369436;3.0874343;2.5872214
01.08.2009;2.8369436;3.0874343;2.5872214
01.09.2009;2.7454293;2.9878395;2.5037627
01.10.2009;2.8369436;3.0874343;2.5872214
01.11.2009;2.7454293;2.9878395;2.5037627
01.12.2009;2.8369436;3.0874343;2.5872214
01.01.2010;2.9907734;3.2403088;2.59013
01.02.2010;2.701344;2.9267302;2.339472
01.03.2010;2.9907734;3.2403088;2.59013
01.04.2010;2.894297;3.1357822;2.5065773
01.05.2010;2.9907734;3.2403088;2.59013
01.06.2010;2.894297;3.1357822;2.5065773
01.07.2010;2.9907734;3.2403088;2.59013
01.08.2010;2.9907734;3.2403088;2.59013
01.09.2010;2.894297;3.1357822;2.5065773
01.10.2010;2.9907734;3.2403088;2.59013
01.11.2010;2.894297;3.1357822;2.5065773
01.12.2010;2.9907734;3.2403088;2.59013
01.01.2011;3.2985926;3.3249052;2.5847056
01.02.2011;2.9793737;3.0031397;2.334573
01.03.2011;3.2985926;3.3249052;2.5847056
01.04.2011;3.1921864;3.2176497;2.5013275
01.05.2011;3.2985926;3.3249052;2.5847056
01.06.2011;3.1921864;3.2176497;2.5013275
01.07.2011;3.2985926;3.3249052;2.5847056
01.08.2011;3.2985926;3.3249052;2.5847056
01.09.2011;3.1921864;3.2176497;2.5013275
01.10.2011;3.2985926;3.3249052;2.5847056
01.11.2011;3.1921864;3.2176497;2.5013275
01.12.2011;3.2985926;3.3249052;2.5847056
01.01.2012;3.3798344;3.3712032;2.6339118
