Date,CH4_Emission_Tg
2000-01-01,8.635496
2000-02-01,8.078366
2000-03-01,8.635496
2000-04-01,8.35693
2000-05-01,8.635496
2000-06-01,8.35693
2000-07-01,8.635496
2000-08-01,8.635496
2000-09-01,8.35693
2000-10-01,8.635496
2000-11-01,8.35693
2000-12-01,8.635496
2001-01-01,8.666232
2001-02-01,7.8275642
2001-03-01,8.666232
2001-04-01,8.386676
2001-05-01,8.666232
2001-06-01,8.386676
2001-07-01,8.666232
2001-08-01,8.666232
2001-09-01,8.386676
2001-10-01,8.666232
2001-11-01,8.386676
2001-12-01,8.666232
2002-01-01,8.777378
2002-02-01,7.9279547
2002-03-01,8.777378
2002-04-01,8.494237
2002-05-01,8.777378
2002-06-01,8.494237
2002-07-01,8.777378
2002-08-01,8.777378
2002-09-01,8.494237
2002-10-01,8.777378
2002-11-01,8.494237
2002-12-01,8.777378
2003-01-01,8.899866
2003-02-01,8.0385895
2003-03-01,8.899866
2003-04-01,8.612774
2003-05-01,8.899866
2003-06-01,8.612774
2003-07-01,8.899866
2003-08-01,8.899866
2003-09-01,8.612774
2003-10-01,8.899866
2003-11-01,8.612774
2003-12-01,8.899866
2004-01-01,9.032826
2004-02-01,8.450064
2004-03-01,9.032826
2004-04-01,8.741445
2004-05-01,9.032826
2004-06-01,8.741445
2004-07-01,9.032826
2004-08-01,9.032826
2004-09-01,8.741445
2004-10-01,9.032826
2004-11-01,8.741445
2004-12-01,9.032826
2005-01-01,9.120439
2005-02-01,8.237815
2005-03-01,9.120439
2005-04-01,8.82623
2005-05-01,9.120439
2005-06-01,8.82623
2005-07-01,9.120439
2005-08-01,9.120439
2005-09-01,8.82623
2005-10-01,9.120439
2005-11-01,8.82623
2005-12-01,9.120439
2006-01-01,9.242239
2006-02-01,8.34783
2006-03-01,9.242239
2006-04-01,8.944103
2006-05-01,9.242239
2006-06-01,8.944103
2006-07-01,9.242239
2006-08-01,9.242239
2006-09-01,8.944103
2006-10-01,9.242239
2006-11-01,8.944103
2006-12-01,9.242239
2007-01-01,9.364645
2007-02-01,8.45839
2007-03-01,9.364645
2007-04-01,9.06256
2007-05-01,9.364645
2007-06-01,9.06256
2007-07-01,9.364645
2007-08-01,9.364645
2007-09-01,9.06256
2007-10-01,9.364645
2007-11-01,9.06256
2007-12-01,9.364645
2008-01-01,9.477252
2008-02-01,8.865816
2008-03-01,9.477252
2008-04-01,9.171534
2008-05-01,9.477252
2008-06-01,9.171534
2008-07-01,9.477252
2008-08-01,9.477252
2008-09-01,9.171534
2008-10-01,9.477252
2008-11-01,9.171534
2008-12-01,9.477252
2009-01-01,9.524222
2009-02-01,8.602523
2009-03-01,9.524222
2009-04-01,9.2169895
2009-05-01,9.524222
2009-06-01,9.2169895
2009-07-01,9.524222
2009-08-01,9.524222
2009-09-01,9.2169895
2009-10-01,9.524222
2009-11-01,9.2169895
2009-12-01,9.524222
2010-01-01,9.565089
2010-02-01,8.639435
2010-03-01,9.565089
2010-04-01,9.256537
2010-05-01,9.565089
2010-06-01,9.256537
2010-07-01,9.565089
2010-08-01,9.565089
2010-09-01,9.256537
2010-10-01,9.565089
2010-11-01,9.256537
2010-12-01,9.565089
2011-01-01,9.62416
2011-02-01,8.692789
2011-03-01,9.62416
2011-04-01,9.313703
2011-05-01,9.62416
2011-06-01,9.313703
2011-07-01,9.62416
2011-08-01,9.62416
2011-09-01,9.313703
2011-10-01,9.62416
2011-11-01,9.313703
2011-12-01,9.62416
2012-01-01,9.725643
2012-02-01,9.098183
2012-03-01,9.725643
2012-04-01,9.411913
2012-05-01,9.725643
2012-06-01,9.411913
2012-07-01,9.725643
2012-08-01,9.725643
2012-09-01,9.411913
2012-10-01,9.725643
2012-11-01,9.411913
2012-12-01,9.725643
2013-01-01,9.786717
2013-02-01,8.839616
2013-03-01,9.786717
2013-04-01,9.471017
2013-05-01,9.786717
2013-06-01,9.471017
2013-07-01,9.786717
2013-08-01,9.786717
2013-09-01,9.471017
2013-10-01,9.786717
2013-11-01,9.471017
2013-12-01,9.786717
2014-01-01,9.85652
2014-02-01,8.902663
2014-03-01,9.85652
2014-04-01,9.538568
2014-05-01,9.85652
2014-06-01,9.538568
2014-07-01,9.85652
2014-08-01,9.85652
2014-09-01,9.538568
2014-10-01,9.85652
2014-11-01,9.538568
2014-12-01,9.85652
2015-01-01,9.959589
2015-02-01,8.995758
2015-03-01,9.959589
2015-04-01,9.638312
2015-05-01,9.959589
2015-06-01,9.638312
2015-07-01,9.959589
2015-08-01,9.959589
2015-09-01,9.638312
2015-10-01,9.959589
2015-11-01,9.638312
2015-12-01,9.959589
2016-01-01,10.07768
2016-02-01,9.427507
2016-03-01,10.07768
2016-04-01,9.752593
2016-05-01,10.07768
2016-06-01,9.752593
2016-07-01,10.07768
2016-08-01,10.07768
2016-09-01,9.752593
2016-10-01,10.07768
2016-11-01,9.752593
2016-12-01,10.07768
2017-01-01,10.112575
2017-02-01,9.133938
2017-03-01,10.112575
2017-04-01,9.786362
2017-05-01,10.112575
2017-06-01,9.786362
2017-07-01,10.112575
2017-08-01,10.112575
2017-09-01,9.786362
2017-10-01,10.112575
2017-11-01,9.786362
2017-12-01,10.112575
2018-01-01,10.184062
2018-02-01,9.198507
2018-03-01,10.184062
2018-04-01,9.855543
2018-05-01,10.184062
2018-06-01,9.855543
2018-07-01,10.184062
2018-08-01,10.184062
2018-09-01,9.855543
2018-10-01,10.184062
2018-11-01,9.855543
2018-12-01,10.184062
2019-01-01,10.191441
2019-02-01,9.205172
2019-03-01,10.191441
2019-04-01,9.862684
2019-05-01,10.191441
2019-06-01,9.862684
2019-07-01,10.191441
2019-08-01,10.191441
2019-09-01,9.862684
2019-10-01,10.191441
2019-11-01,9.862684
2019-12-01,10.191441
2020-01-01,10.198931
2020-02-01,9.5409355
2020-03-01,10.198931
2020-04-01,9.869933
2020-05-01,10.198931
2020-06-01,9.869933
2020-07-01,10.198931
2020-08-01,10.198931
