,oil,gas,coal,geological,total
2000-01-01,2.9988394,2.3758247,1.8846929,1.7583333333333335,9.017690333333334
2000-02-01,2.8053658,2.2225459,1.7630998,1.7583333333333335,8.549344833333334
2000-03-01,2.9988394,2.3758247,1.8846929,1.7583333333333335,9.017690333333334
2000-04-01,2.9021032,2.2991853,1.8238964,1.7583333333333335,8.783518233333334
2000-05-01,2.9988394,2.3758247,1.8846929,1.7583333333333335,9.017690333333334
2000-06-01,2.9021032,2.2991853,1.8238964,1.7583333333333335,8.783518233333334
2000-07-01,2.9988394,2.3758247,1.8846929,1.7583333333333335,9.017690333333334
2000-08-01,2.9988394,2.3758247,1.8846929,1.7583333333333335,9.017690333333334
2000-09-01,2.9021032,2.2991853,1.8238964,1.7583333333333335,8.783518233333334
2000-10-01,2.9988394,2.3758247,1.8846929,1.7583333333333335,9.017690333333334
2000-11-01,2.9021032,2.2991853,1.8238964,1.7583333333333335,8.783518233333334
2000-12-01,2.9988394,2.3758247,1.8846929,1.7583333333333335,9.017690333333334
2001-01-01,2.8873637,2.4553542,1.9652469,1.7583333333333335,9.066298133333333
2001-02-01,2.6079414,2.2177393,1.7750616,1.7583333333333335,8.359075633333333
2001-03-01,2.8873637,2.4553542,1.9652469,1.7583333333333335,9.066298133333333
2001-04-01,2.794223,2.3761494,1.9018515,1.7583333333333335,8.830557233333334
2001-05-01,2.8873637,2.4553542,1.9652469,1.7583333333333335,9.066298133333333
2001-06-01,2.794223,2.3761494,1.9018515,1.7583333333333335,8.830557233333334
2001-07-01,2.8873637,2.4553542,1.9652469,1.7583333333333335,9.066298133333333
2001-08-01,2.8873637,2.4553542,1.9652469,1.7583333333333335,9.066298133333333
2001-09-01,2.794223,2.3761494,1.9018515,1.7583333333333335,8.830557233333334
2001-10-01,2.8873637,2.4553542,1.9652469,1.7583333333333335,9.066298133333333
2001-11-01,2.794223,2.3761494,1.9018515,1.7583333333333335,8.830557233333334
2001-12-01,2.8873637,2.4553542,1.9652469,1.7583333333333335,9.066298133333333
2002-01-01,2.6436126,2.5504224,1.9765708,1.7583333333333335,8.928939133333333
2002-02-01,2.3877792,2.3036075,1.7852898,1.7583333333333335,8.235009833333335
2002-03-01,2.6436126,2.5504224,1.9765708,1.7583333333333335,8.928939133333333
2002-04-01,2.5583348,2.4681509,1.9128104,1.7583333333333335,8.697629433333333
2002-05-01,2.6436126,2.5504224,1.9765708,1.7583333333333335,8.928939133333333
2002-06-01,2.5583348,2.4681509,1.9128104,1.7583333333333335,8.697629433333333
2002-07-01,2.6436126,2.5504224,1.9765708,1.7583333333333335,8.928939133333333
2002-08-01,2.6436126,2.5504224,1.9765708,1.7583333333333335,8.928939133333333
2002-09-01,2.5583348,2.4681509,1.9128104,1.7583333333333335,8.697629433333333
2002-10-01,2.6436126,2.5504224,1.9765708,1.7583333333333335,8.928939133333333
2002-11-01,2.5583348,2.4681509,1.9128104,1.7583333333333335,8.697629433333333
2002-12-01,2.6436126,2.5504224,1.9765708,1.7583333333333335,8.928939133333333
2003-01-01,2.8975146,2.6523533,2.1560814,1.7583333333333335,9.464282633333333
2003-02-01,2.61711,2.3956742,1.9474286,1.7583333333333335,8.718546133333334
2003-03-01,2.8975146,2.6523533,2.1560814,1.7583333333333335,9.464282633333333
2003-04-01,2.8040464,2.5667937,2.0865304,1.7583333333333335,9.215703833333333
2003-05-01,2.8975146,2.6523533,2.1560814,1.7583333333333335,9.464282633333333
2003-06-01,2.8040464,2.5667937,2.0865304,1.7583333333333335,9.215703833333333
2003-07-01,2.8975146,2.6523533,2.1560814,1.7583333333333335,9.464282633333333
2003-08-01,2.8975146,2.6523533,2.1560814,1.7583333333333335,9.464282633333333
2003-09-01,2.8040464,2.5667937,2.0865304,1.7583333333333335,9.215703833333333
2003-10-01,2.8975146,2.6523533,2.1560814,1.7583333333333335,9.464282633333333
2003-11-01,2.8040464,2.5667937,2.0865304,1.7583333333333335,9.215703833333333
2003-12-01,2.8975146,2.6523533,2.1560814,1.7583333333333335,9.464282633333333
2004-01-01,2.8465161,2.7349389,2.357466,1.7583333333333335,9.697254333333333
2004-02-01,2.66287,2.5584915,2.2053716,1.7583333333333335,9.185066433333333
2004-03-01,2.8465161,2.7349389,2.357466,1.7583333333333335,9.697254333333333
2004-04-01,2.7546928,2.6467152,2.2814186,1.7583333333333335,9.441159933333333
2004-05-01,2.8465161,2.7349389,2.357466,1.7583333333333335,9.697254333333333
2004-06-01,2.7546928,2.6467152,2.2814186,1.7583333333333335,9.441159933333333
2004-07-01,2.8465161,2.7349389,2.357466,1.7583333333333335,9.697254333333333
2004-08-01,2.8465161,2.7349389,2.357466,1.7583333333333335,9.697254333333333
2004-09-01,2.7546928,2.6467152,2.2814186,1.7583333333333335,9.441159933333333
2004-10-01,2.8465161,2.7349389,2.357466,1.7583333333333335,9.697254333333333
2004-11-01,2.7546928,2.6467152,2.2814186,1.7583333333333335,9.441159933333333
2004-12-01,2.8465161,2.7349389,2.357466,1.7583333333333335,9.697254333333333
2005-01-01,2.8430686,2.8116558,2.5637805,1.7583333333333335,9.976838233333332
2005-02-01,2.5679328,2.53956,2.3156726,1.7583333333333335,9.181498733333333
2005-03-01,2.8430686,2.8116558,2.5637805,1.7583333333333335,9.976838233333332
2005-04-01,2.7513568,2.720957,2.4810774,1.7583333333333335,9.711724533333333
2005-05-01,2.8430686,2.8116558,2.5637805,1.7583333333333335,9.976838233333332
2005-06-01,2.7513568,2.720957,2.4810774,1.7583333333333335,9.711724533333333
2005-07-01,2.8430686,2.8116558,2.5637805,1.7583333333333335,9.976838233333332
