date,d13C_median,d13C_mean,d13C_q25,d13C_q75,d13C_std,dD_median,dD_mean,dD_q25,dD_q75,dD_std
1998-01-01,-25.82071143186979,-25.80045229745994,-28.233876975989453,-23.270905306997513,3.5925551991176423,-213.98360248983258,-213.91505782440677,-229.69873360138627,-198.47173246234706,22.973898586248943
1998-02-01,-25.767001123482025,-25.7904197548682,-28.18099300562508,-23.336359686149194,3.5748191261792712,-214.1473291630209,-214.0475799970896,-229.901415025514,-198.56329052016164,22.78208813004515
1998-03-01,-25.73943262459469,-25.761051139297702,-28.238859100418637,-23.264719417752197,3.6125035658880447,-213.73132822842868,-213.79153456588193,-229.81188566256682,-198.0868664073086,23.054615077264845
1998-04-01,-25.887801247741994,-25.828415820218964,-28.301401350729577,-23.358920061631466,3.6014950076516765,-213.63136796370483,-213.60987714348556,-229.23741318391345,-198.1881473624411,22.838686611825267
1998-05-01,-25.822537102478808,-25.788715968420043,-28.165521397869174,-23.35921736911298,3.577082825351821,-213.93990474891848,-213.70364128568457,-229.21237235810892,-198.07245465048575,22.9686826698954
1998-06-01,-25.775585333541414,-25.757814650695188,-28.173377564466847,-23.364591976819472,3.551512043867427,-214.50034447358064,-214.21680470590925,-229.92736587170808,-198.8976730749337,22.970497264090334
1998-07-01,-25.80279079814139,-25.816387146471993,-28.229843426003946,-23.413181636603454,3.5444978657024944,-213.9006306600597,-213.97527857942862,-229.892037761332,-198.4984968022901,23.27077684327689
1998-08-01,-25.92955055311063,-25.888475326757863,-28.328911973409824,-23.460780186198257,3.605070303259424,-213.8768102758476,-213.75000182172187,-229.4260264590009,-197.91002544800344,23.178134380601545
1998-09-01,-25.83108261634113,-25.87310661866406,-28.327592157524627,-23.41565861754,3.6061121786041017,-214.2123973692996,-214.1864911996725,-229.46321952341884,-198.53499671719428,22.91762746410557
1998-10-01,-25.785326398869266,-25.812098379370234,-28.216280684197034,-23.425601021388232,3.5420615085712064,-214.27919471612853,-214.23527440154626,-229.53136677997875,-199.1447832440386,22.69242621649048
1998-11-01,-25.80999505936994,-25.822401295244852,-28.265784545376498,-23.420580308169512,3.5442947540811183,-214.1697040510482,-214.27368646462048,-230.01845392255643,-198.50899669508195,22.75979209047268
1998-12-01,-25.86360394654072,-25.862497334532453,-28.326302309473103,-23.415553742974314,3.564880514999998,-214.43773212174486,-214.3357043596721,-229.82708110924423,-198.81411214028014,22.93983480108213
1999-01-01,-25.76516694216258,-25.797694197468033,-28.220912567138978,-23.362702800966737,3.555910674499512,-213.27641037283954,-213.613783935316,-229.07939919170394,-198.05778085014578,23.014525892362187
1999-02-01,-25.744958800118173,-25.71905061622034,-28.167897983264435,-23.247669265653627,3.5669304248115243,-213.7550627295342,-214.0971055675477,-229.49691727215927,-198.4171580323702,22.79890836097263
1999-03-01,-25.820369643914262,-25.81937276275202,-28.293732283298617,-23.369196922619988,3.5813654005401028,-214.24963285516623,-214.37910536660218,-229.66346502557332,-199.00877044820368,23.048741900816843
1999-04-01,-25.768545786009994,-25.797075851208774,-28.215756287021247,-23.379274332076044,3.591677009619667,-213.70833948530756,-213.97793868139385,-229.31069789375533,-198.53377775664487,23.10113868716585
1999-05-01,-25.84013254184506,-25.849636197090646,-28.222621761302634,-23.429448698487185,3.5769240866588596,-213.67411524835293,-213.67443906263128,-229.11133257247002,-198.43392339255297,22.77277550420965
1999-06-01,-25.8663480395387,-25.844990498348828,-28.31498191144694,-23.35842349397483,3.61859363854195,-214.10848943307437,-213.95691026029448,-229.77448516789966,-198.24425897216113,23.192861653185876
1999-07-01,-25.774111763153563,-25.824367769758712,-28.276984024345936,-23.35005003724917,3.6181215785896157,-214.02587865666607,-214.01014712978778,-229.52510185387325,-198.564788362261,22.85135919326529
1999-08-01,-25.804483557096326,-25.827180621835083,-28.270227912149263,-23.371456064509218,3.5692421007998214,-213.72990359149904,-213.89637010839218,-229.58739962011077,-198.19610493156893,22.877406163676547
1999-09-01,-25.819720432073886,-25.816560587797216,-28.275133101314594,-23.397747942743155,3.60745646477678,-214.29601193196243,-214.34858784024306,-229.81855161153447,-198.76214787619227,22.89287798547289
1999-10-01,-25.790843891730333,-25.832928017614197,-28.21946762807221,-23.43400289345416,3.582704964451323,-213.91663886682642,-213.83967733157118,-229.4686808378503,-197.8976148227699,22.89196141034262
