date,d13C_median,d13C_mean,d13C_p5,d13C_p95,d13C_std,dD_median,dD_mean,dD_p5,dD_p95,dD_std
2000-01-01,-47.110754819368616,-47.02974724476964,-55.89977827324327,-38.0580796389971,5.499035108647123,-182.78351237392897,-183.01039054588728,-219.2244046543276,-146.7194213289031,21.709069519684203
2000-02-01,-46.88593302864887,-46.931668835835964,-56.03005561807717,-38.23827955522602,5.403734683739455,-183.50094792824723,-183.43631667356948,-219.27810865029758,-147.72300363746245,21.627418264445147
2000-03-01,-46.91918100932595,-46.88886760517729,-55.82681883488162,-37.77993089827383,5.397520553860711,-183.38096617471095,-183.25853176295738,-218.8820080511447,-148.2440114941742,21.489165524241173
2000-04-01,-46.78817087717567,-46.86843039768387,-55.71466169965203,-38.1437946740769,5.375292923256616,-183.1775421963756,-183.12466392323668,-219.06253361761594,-146.80624299257224,21.98411504463949
2000-05-01,-46.817289726182906,-46.904809775648275,-55.82315933494023,-37.990673373373724,5.404120192421598,-183.26988289267518,-183.31024589007288,-219.16797337136765,-146.97447263797207,21.775571699798572
2000-06-01,-46.934177351745376,-46.9188574964522,-55.976640399482264,-37.67234022721343,5.477027602289471,-183.72463821258896,-183.42686160223477,-219.32167366126905,-147.34805310483105,21.9870890040981
2000-07-01,-46.99951921066095,-47.009536231227344,-55.982710012423574,-38.28551595236402,5.402583484912817,-183.1532788537643,-183.3511554393094,-218.76473779704028,-146.94808197457405,21.72122325966413
2000-08-01,-46.93326477680293,-46.89929890374332,-55.91567052841059,-37.94792394369979,5.421125227733736,-182.64826600770016,-182.68834293606065,-219.61476713368398,-146.2596017642197,22.198305259082538
2000-09-01,-46.934952042650764,-46.884720455069484,-55.6513118995907,-37.92382968020561,5.402675816744078,-183.50103527851624,-183.58540680293538,-219.17743217608233,-147.946512249874,21.595291276790217
2000-10-01,-47.10625445764758,-47.09032989625884,-56.10988847044721,-38.05051741303914,5.419494834938027,-183.42555848005435,-183.16012589314332,-219.57809132005295,-146.83167661535825,21.636960136539912
2000-11-01,-47.0045873104495,-46.88435061003289,-55.791997216319835,-37.80407171601262,5.448274468806628,-183.17660685867094,-183.2085860274539,-218.43321942423574,-147.49522977861972,21.73214260220021
2000-12-01,-47.07765951211091,-46.97783869662809,-55.82584388129224,-38.021755157098106,5.351429902091002,-184.53324058635286,-183.95990512776802,-219.06848544022932,-148.06456200947258,21.481129346599
2001-01-01,-46.902199871619544,-46.89262419107271,-55.883218531829506,-37.8746352731135,5.438421112443664,-183.66189925433727,-183.43656626897325,-219.3137475077939,-147.3310803514908,21.64208860360474
2001-02-01,-46.69846304809878,-46.85587122474923,-55.91040886625372,-38.25528708215531,5.32608555810332,-183.8251504058034,-183.92394964443287,-220.0356709619965,-148.6510190664957,21.513460950434496
2001-03-01,-47.06300093101366,-46.96360044254679,-55.7449224472069,-38.18290875961708,5.305059910786589,-182.46524113624784,-182.43509199261783,-218.10990203713607,-146.5462108063852,21.63767152430231
2001-04-01,-46.92091211613584,-46.84217826337628,-55.757679072352225,-38.003761293861125,5.431396924319202,-183.15505943846188,-183.1748436601196,-218.85497635481306,-146.3715454480488,21.809044853975816
2001-05-01,-47.08890550981357,-47.01211868573066,-55.95152043345108,-37.89015183464377,5.459384838889912,-183.01047705637293,-183.205100548537,-218.67128750385365,-147.70465910538996,21.361074800002296
2001-06-01,-46.99204985438861,-46.99500550486281,-55.720019471897935,-37.978807496057065,5.4051406386706145,-182.9104216080111,-182.74564949940523,-218.21033213022645,-146.8945806242738,21.72279979164939
2001-07-01,-46.81562847673885,-46.871968988749764,-55.848977362895475,-38.149572862999655,5.3755574622213445,-183.00708257424967,-182.92787807353312,-220.29042504989906,-147.11242569153225,21.95500823800646
2001-08-01,-46.9093424843103,-46.91480936760092,-55.73334976233076,-38.106810210364074,5.314734657332508,-183.57484609437873,-183.0852125989909,-218.1016969642306,-146.36778474854057,21.7591230131354
2001-09-01,-46.959535274891095,-46.926212773978364,-55.60515430049495,-38.09087253894502,5.34672489000868,-183.13481054132552,-183.09764635676942,-218.70045574511067,-147.23671036211766,21.729833889689182
2001-10-01,-46.84905527914138,-46.86205773300623,-55.773081753633086,-37.85189479494149,5.394179964196531,-183.09085348437753,-183.2363778247448,-218.6854794575188,-147.97840280716244,21.414441784626312
2001-11-01,-46.922706267295524,-46.874980343878825,-55.66358030650445,-37.911223172702535,5.3717814384496165,-183.19824633407742,-182.95746429720802,-219.37103691816606,-147.19430456309365,21.808546376441786
